页签,序号,项目名称,分类,上游地址,status,url_type,actual_url,stars,forks,watchers,open_issues_count,total_pull_requests,language,license,created_at,updated_at,pushed_at,size_kb,default_branch,topics,fork,archived,mirror_url,has_issues,note
昇腾,66,dgl,训练加速,https://github.com/dmlc/dgl,valid,repo,,14260,3056,168,603,5082,Python,Apache-2.0,2018-04-20T14:49:09Z,2026-04-10T04:52:37Z,2025-07-31T23:53:10Z,30768,master,"deep-learning,graph-neural-networks",False,False,,True,
昇腾,67,pyg,训练加速,https://github.com/pyg-team/pytorch_geometric,valid,repo,,23668,3977,251,1257,3758,Python,MIT,2017-10-06T16:03:03Z,2026-04-10T05:43:25Z,2026-04-08T15:55:18Z,24801,master,"deep-learning,geometric-deep-learning,graph-convolutional-networks,graph-neural-networks,pytorch",False,False,,True,
昇腾,68,megablocks,训练加速,https://github.com/databricks/megablocks,valid,repo,,1553,224,15,47,116,Python,Apache-2.0,2023-01-26T00:24:56Z,2026-04-10T06:55:27Z,2026-03-25T04:53:14Z,4104,main,,False,False,,True,
昇腾,69,inclusionAI,推理加速,https://github.com/inclusionAI,valid,org,,,,,,,,,,,,,,,,,,,
昇腾,70,Mooncake,推理加速,https://github.com/kvcache-ai/Mooncake,valid,repo,,5067,660,43,387,1315,C++,Apache-2.0,2024-06-25T05:21:05Z,2026-04-10T06:42:20Z,2026-04-10T05:58:56Z,35291,main,"disaggregation,inference,kvcache,llm,rdma,sglang,vllm",False,False,,True,
昇腾,71,cache-dit,推理加速,https://github.com/vipshop/cache-dit,valid,repo,,1129,68,9,85,814,Python,Apache-2.0,2025-06-12T07:54:30Z,2026-04-10T05:19:30Z,2026-04-10T05:19:39Z,527958,main,"flux2-klein,parallelism,svdquant",False,False,,True,
昇腾,72,LMCache,推理加速,https://github.com/LMCache/LMCache,valid,repo,,7946,1077,42,285,1971,Python,Apache-2.0,2024-05-28T21:06:04Z,2026-04-10T04:38:01Z,2026-04-10T01:49:55Z,30804,dev,"amd,cuda,fast,inference,kv-cache,llm,pytorch,rocm,speed,vllm",False,False,,True,
昇腾,73,rtp-llm,推理加速,https://github.com/alibaba/rtp-llm,valid,repo,,1081,167,18,83,754,Cuda,Apache-2.0,2023-12-27T08:22:59Z,2026-04-10T07:31:55Z,2026-04-10T07:43:43Z,528114,main,"gpt,inference,llama,llm,llm-serving,llmops,model-serving",False,False,,True,
昇腾,74,xllm,推理加速,https://github.com/jd-opensource/xllm,valid,repo,,1197,176,15,152,1092,C++,NOASSERTION,2025-08-12T13:16:07Z,2026-04-10T06:45:58Z,2026-04-10T07:28:34Z,15821,main,"deepseek,glm,inference,inference-engine,large-language-models,llm-inference,qwen",False,False,,True,
昇腾,75,router,推理加速,https://github.com/vllm-project/router,valid,repo,,185,67,4,31,117,Rust,Apache-2.0,2025-07-29T20:44:59Z,2026-04-10T07:16:32Z,2026-03-31T03:03:21Z,658,main,,False,False,,True,
